id,單字,中文,主題,詞性,例句,例句中文,emoji,干擾字1,干擾字2,干擾字3
tim-014,often,常常,time_numbers,adv,We often go to the library.,我們常常去圖書館。,,sometimes,never,always
tim-015,sometimes,有時候,time_numbers,adv,Sometimes we have noodles for dinner.,我們有時候晚餐吃麵。,,always,never,often
tim-016,how often,多久一次,time_numbers,adv+int,How often do you practise the piano?,你多久練一次鋼琴？,,how much,how,why
tim-017,first,第一,time_numbers,adj+adv,A is the first letter.,A是第一個字母。,🥇,second,third,last
tim-018,second,第二,time_numbers,adj+adv,B is the second letter.,B是第二個字母。,🥈,first,third,last
tim-019,third,第三,time_numbers,adj+adv,Our classroom is on the third floor.,我們的教室在三樓。,🥉,second,first,fourth
tim-020,last,最後的；上一個,time_numbers,adj+adv,Z is the last letter.,Z是最後一個字母。,,first,third,second
tim-021,then,然後,time_numbers,adv,"Do your homework, then you can play.",先寫作業，然後才能玩。,,when,only,always
tim-022,hundred,一百,time_numbers,n,There are a hundred people here!,這裡有一百個人！,💯,ninety,sixty,forty
tim-023,twenty-one,二十一,time_numbers,n,My aunt is twenty-one years old.,我阿姨二十一歲。,,twelve,twenty,thirty-one
tim-024,thirty,三十,time_numbers,n,There are thirty children in my class.,我們班有三十個小朋友。,,thirteen,forty,twenty
tim-025,forty,四十,time_numbers,n,My dad is forty years old.,我爸爸四十歲。,,fourteen,thirty,fifty
tim-026,fifty,五十,time_numbers,n,There are fifty sheep on the farm.,農場裡有五十隻羊。,,fifteen,forty,sixty
tim-027,sixty,六十,time_numbers,n,Sixty and forty is a hundred.,六十加四十是一百。,,sixteen,seventy,thirty
tim-028,seventy,七十,time_numbers,n,My grandma is seventy years old.,我奶奶七十歲。,,seventeen,sixty,eighty
tim-029,eighty,八十,time_numbers,n,There are eighty seats in the cinema.,電影院有八十個座位。,,eighteen,seventy,ninety
tim-030,ninety,九十,time_numbers,n,Ninety is a big number.,九十是一個很大的數字。,,nineteen,eighty,hundred
tim-031,fourth,第四,time_numbers,adj+adv,My classroom is on the fourth floor.,我的教室在四樓。,,fifth,first,fourteenth
tim-032,fifth,第五,time_numbers,adj+adv,Friday is the fifth day of the week.,星期五是一週的第五天。,,fourth,first,fifteenth
tim-033,tenth,第十,time_numbers,adj+adv,It's my tenth birthday today!,今天是我十歲生日！,🎂,twelfth,fifth,twentieth
tim-034,twelfth,第十二,time_numbers,adj+adv,December is the twelfth month.,十二月是第十二個月。,,tenth,twentieth,fifth
tim-035,fifteenth,第十五,time_numbers,adj+adv,Today is the fifteenth of May.,今天是五月十五日。,,fifth,twelfth,twentieth
tim-036,twentieth,第二十,time_numbers,adj+adv,My birthday is on the twentieth of July.,我的生日在七月二十日。,,twelfth,tenth,second
mix-001,band,樂團,mixed,n,The band played at the party.,樂團在派對上表演。,🎸,circus,clown,film star
mix-002,circus,馬戲團,mixed,n,We saw a clown at the circus.,我們在馬戲團看到小丑。,🎪,funfair,cinema,party
mix-003,clown,小丑,mixed,n,The clown makes everyone laugh.,小丑讓大家哈哈大笑。,🤡,pirate,farmer,pop star
mix-004,comic,漫畫,mixed,n,I read a comic on the bus.,我在公車上看漫畫。,📖,e-book,video,message
mix-005,comic book,漫畫書,mixed,n,This comic book is about a brave pirate.,這本漫畫書是關於一個勇敢的海盜。,📚,e-book,DVD,model
mix-006,dress up,裝扮,mixed,v,Let's dress up as pirates!,我們來裝扮成海盜吧！,🎭,get dressed,put on,hide
mix-007,film / movie,電影,mixed,n,This film is about a huge whale.,這部電影是關於一隻大鯨魚。,🎬,video,DVD,comic
mix-008,film star,電影明星,mixed,n,She wants to be a film star.,她想當電影明星。,🌟,pop star,clown,player
mix-009,funfair,遊樂園,mixed,n,We rode the big wheel at the funfair.,我們在遊樂園坐了摩天輪。,🎡,circus,cinema,market
mix-010,hide,躲；藏,mixed,v,The kitten hides under the bed.,小貓躲在床底下。,🙈,lose,look for,drop
mix-011,invite,邀請,mixed,v,Let's invite Grandma to the party.,我們邀請奶奶來派對吧。,💌,call,send,help
mix-012,laugh,笑,mixed,n+v,The funny clown makes me laugh.,好笑的小丑讓我大笑。,😂,cry,shout,hide
mix-013,party,派對,mixed,n,Are you coming to my birthday party?,你要來我的生日派對嗎？,🎉,picnic,trip,funfair
mix-014,pirate,海盜,mixed,n,The pirate is looking for treasure.,海盜正在尋找寶藏。,🏴‍☠️,clown,farmer,driver
mix-015,pop star,流行歌手,mixed,n,The pop star sang my favourite song.,那位流行歌手唱了我最愛的歌。,🎤,film star,clown,nurse
mix-016,present,禮物,mixed,n,This present is for you!,這個禮物是給你的！,🎁,ticket,model,message
mix-017,star,星星；明星,mixed,n,I can see many stars tonight.,今晚我看得到好多星星。,⭐,moon,sky,circle
mix-018,treasure,寶藏,mixed,n,The treasure is under the rock.,寶藏在岩石下面。,💰,present,ticket,map
mix-019,noise,噪音,mixed,n,Don't make a noise in the library.,在圖書館不要發出噪音。,🔊,message,laugh,music
mix-020,age,年齡,mixed,n,We are the same age.,我們同年齡。,🎂,name,address,number
mix-021,kind,種類,mixed,n,What kind of ice cream do you like?,你喜歡哪一種冰淇淋？,,shape,place,idea
mix-022,work,工作,mixed,n+v,My aunt works at the hospital.,我阿姨在醫院工作。,💼,play,help,travel
mix-023,afraid,害怕的,mixed,adj,Don't be afraid of the dark.,不要怕黑。,😨,frightened,surprised,tired
mix-024,all right,沒問題的；還好,mixed,adj+adv,Are you all right?,你還好嗎？,👌,fine,well,wrong
mix-025,bad,壞的,mixed,adj,The weather is bad today.,今天天氣不好。,👎,terrible,wrong,worse
mix-026,boring,無聊的,mixed,adj,This film is boring. Let's play outside.,這部電影好無聊，我們去外面玩吧。,🥱,exciting,difficult,easy
mix-027,brave,勇敢的,mixed,adj,The brave girl helped the kitten.,勇敢的女孩救了小貓。,🦸,afraid,clever,strong
mix-028,brilliant,很棒的,mixed,adj+excl,Brilliant! You got all the answers right!,太棒了！你全部答對了！,✨,terrible,boring,wrong
mix-029,busy,忙碌的；熱鬧的,mixed,adj,Mum is busy in the kitchen.,媽媽在廚房裡忙。,,quiet,tired,slow
mix-030,careful,小心的,mixed,adj,Be careful on the road!,過馬路要小心！,⚠️,dangerous,quick,safe
mix-031,clever,聰明的,mixed,adj,Parrots are clever birds.,鸚鵡是聰明的鳥。,🧠,brave,naughty,famous
mix-032,dangerous,危險的,mixed,adj,Playing on the road is dangerous.,在馬路上玩很危險。,⚠️,safe,careful,difficult
mix-033,exciting,刺激的；令人興奮的,mixed,adj,The football game was exciting!,那場足球賽好刺激！,🤩,boring,easy,terrible
mix-034,fair,金色的；公平的,mixed,adj,My sister has fair hair.,我妹妹有一頭金髮。,,blonde,curly,pretty
mix-035,famous,有名的,mixed,adj,This singer is famous in Taiwan.,這位歌手在台灣很有名。,🌟,clever,pretty,brave
mix-036,frightened,受驚嚇的,mixed,adj,The kitten is frightened of the dog.,小貓很怕那隻狗。,😱,afraid,surprised,naughty
mix-037,huge,巨大的,mixed,adj,A whale is a huge animal.,鯨魚是巨大的動物。,🐋,little,tall,fat
mix-038,little,小的,mixed,adj,The little kitten is asleep.,小貓咪睡著了。,🤏,huge,thin,short
mix-039,loud,大聲的,mixed,adj,The music is too loud!,音樂太大聲了！,🔊,quiet,noisy,slow
mix-040,naughty,調皮的,mixed,adj,The naughty puppy ate my homework!,調皮的小狗吃了我的作業！,😈,quiet,clever,kind
mix-041,pretty,漂亮的,mixed,adj,What a pretty dress!,好漂亮的洋裝！,🌸,famous,little,fair
mix-042,quick,快的,mixed,adj,Be quick! The bus is coming!,快一點！公車來了！,⚡,slow,quiet,straight
mix-043,quiet,安靜的,mixed,adj,Please be quiet in class.,上課請保持安靜。,🤫,loud,quick,busy
mix-044,round,圓的,mixed,adj+prep,The moon is round.,月亮是圓的。,⚪,square,straight,little
mix-045,safe,安全的,mixed,adj,Wear a helmet to be safe.,戴安全帽才安全。,🛡️,dangerous,careful,strong
mix-046,slow,慢的,mixed,adj,The snail is very slow.,蝸牛非常慢。,🐌,quick,quiet,weak
mix-047,surprised,驚訝的,mixed,adj,I was surprised to see the rainbow.,看到彩虹我好驚訝。,😲,frightened,afraid,excited
mix-048,tall,高的,mixed,adj,The giraffe is very tall.,長頸鹿非常高。,🦒,thin,huge,little
mix-049,terrible,糟糕的,mixed,adj,The weather was terrible yesterday.,昨天的天氣糟透了。,😖,brilliant,bad,boring
mix-050,wrong,錯的,mixed,adj,That answer is wrong. Try again!,那個答案是錯的，再試一次！,❌,bad,different,terrible
mix-051,best,最好的,mixed,adj+adv,You are my best friend.,你是我最好的朋友。,🏆,better,worst,first
mix-052,top,頂端,mixed,n+adj,We climbed to the top of the mountain.,我們爬到了山頂。,🔝,bottom,floor,roof
mix-053,bottom,底部,mixed,n+adj,The treasure is at the bottom of the sea.,寶藏在海底。,,top,ground,floor
mix-054,badly,糟糕地,mixed,adv,"He sings badly, but he loves singing.",他唱得不好，但他愛唱歌。,,well,slowly,loudly
mix-055,carefully,小心地,mixed,adv,Carry the glass carefully.,小心地拿玻璃杯。,,quickly,quietly,slowly
mix-056,loudly,大聲地,mixed,adv,Don't shout so loudly!,不要那麼大聲喊叫！,📢,quietly,quickly,badly
mix-057,quickly,快速地,mixed,adv,The rabbit runs quickly.,兔子跑得很快。,💨,slowly,quietly,carefully
mix-058,quietly,安靜地,mixed,adv,Please close the door quietly.,請輕輕地關門。,,loudly,quickly,badly
mix-059,slowly,緩慢地,mixed,adv,The snail moves slowly.,蝸牛慢慢地移動。,🐌,quickly,carefully,quietly
mix-060,only,只有,mixed,adv,I have only one ticket.,我只有一張票。,,all,both,every
mix-061,be called,叫做,mixed,v,My puppy is called Lucky.,我的小狗叫做Lucky。,🏷️,call,mean,need
mix-062,bring,帶來,mixed,v,Bring your swimsuit tomorrow.,明天帶你的泳衣來。,,take,carry,buy
mix-063,call,打電話；呼叫,mixed,v,Call me after dinner.,晚餐後打電話給我。,📞,text,send,shout
mix-064,carry,提；搬,mixed,v,Can you carry this box?,你可以搬這個箱子嗎？,📦,bring,take,drop
mix-065,change,改變；換,mixed,v,Change your wet clothes.,換掉你濕濕的衣服。,🔄,move,fix,take off
mix-066,cry,哭,mixed,v,The baby is crying. He is hungry.,寶寶在哭，他餓了。,😢,laugh,shout,hurt
mix-067,drop,掉落；弄掉,mixed,v,Don't drop the plate!,不要把盤子摔了！,,fall,carry,lose
mix-068,fall,跌倒；落下,mixed,v,Be careful! Don't fall!,小心！不要跌倒！,,drop,hurt,hop
mix-069,fix,修理,mixed,v,Dad can fix my bike.,爸爸會修我的腳踏車。,🔧,build,change,help
mix-070,help,幫助,mixed,v,Can you help me with my homework?,你可以幫我寫作業嗎？,🤝,teach,need,call
mix-071,look for,尋找,mixed,v,I'm looking for my other shoe.,我在找我的另一隻鞋。,🔍,hide,lose,find
mix-072,lose,弄丟；輸,mixed,v,Don't lose your ticket!,不要弄丟你的票！,,drop,look for,hide
mix-073,move,移動,mixed,v,Help me move this table.,幫我搬這張桌子。,➡️,carry,change,take
mix-074,need,需要,mixed,v,Plants need water and sun.,植物需要水和陽光。,,want,help,think
mix-075,send,寄送；傳送,mixed,v,Send a message to your aunt.,傳訊息給你阿姨。,📤,bring,call,text
mix-076,shout,大喊,mixed,v,Don't shout in the library!,在圖書館不要大喊！,📢,cry,laugh,call
mix-077,take,拿；帶走,mixed,v,Take an umbrella with you.,帶把傘出門。,,bring,carry,buy
mix-078,wait,等待,mixed,v,Wait for me at the bus stop.,在公車站牌等我。,⏳,stay,stop,walk
mix-079,could,能夠（過去式）,mixed,v,I could swim when I was five.,我五歲時就會游泳了。,,must,would,shall
mix-080,must,必須,mixed,v,You must wear a helmet.,你必須戴安全帽。,❗,could,shall,would
mix-081,shall,要不要（提議）,mixed,v,Shall we go swimming?,我們要不要去游泳？,,must,could,would
mix-082,would,想要（客氣說法）,mixed,v,Would you like some tea?,你想喝點茶嗎？,,shall,could,must
mix-083,have to,必須,mixed,v,I have to do my homework first.,我必須先寫作業。,,want to,need,must
mix-084,come on!,快點！加油！,mixed,excl,Come on! We're going to be late!,快點！我們要遲到了！,🏃,excuse me,all right,brilliant!
mix-085,excuse me,不好意思,mixed,dis,"Excuse me, where is the station?",不好意思，請問車站在哪裡？,🙋,come on!,thank you,all right
mix-086,above,在…上方,mixed,prep,The plane is above the clouds.,飛機在雲的上方。,⬆️,below,near,along
mix-087,after,在…之後,mixed,prep,We play games after dinner.,晚餐後我們玩遊戲。,,before,at,by
mix-088,along,沿著,mixed,prep,We walked along the river.,我們沿著河邊走。,,around,into,above
mix-089,another,另一個,mixed,det+pron,Can I have another pancake?,我可以再吃一片鬆餅嗎？,,any,every,both
mix-090,any,任何,mixed,det+pron,Do you have any questions?,你有任何問題嗎？,,another,every,all
mix-091,around,環繞；在四周,mixed,prep,We walked around the lake.,我們繞著湖走了一圈。,🔄,along,above,into
mix-092,at,在（時間）,mixed,prep,School starts at eight o'clock.,學校八點開始上課。,,on,by,after
mix-093,because,因為,mixed,conj,I'm happy because it's my birthday.,我很開心，因為今天是我的生日。,,when,than,before
mix-094,before,在…之前,mixed,prep,Wash your hands before lunch.,吃午餐前要洗手。,,after,at,by
mix-095,below,在…下方,mixed,prep,The fish swim below the boat.,魚在船的下方游。,⬇️,above,near,out of
mix-096,both,兩者都,mixed,det+pron,Both answers are right!,兩個答案都對！,,all,every,another
mix-097,by,搭乘；在…旁,mixed,prep,We went to the city by train.,我們搭火車去城市。,🚆,at,on,into
mix-098,down,向下,mixed,adv+prep,The monkey climbed down the tree.,猴子從樹上爬下來。,⬇️,up,into,out
mix-099,every,每一個,mixed,det,I swim every Saturday.,我每個星期六游泳。,,any,both,all
mix-100,everyone,每個人,mixed,pron,Everyone loves the funfair.,每個人都愛遊樂園。,👥,someone,everything,nothing
mix-101,everything,每件事；所有東西,mixed,pron,Everything is ready for the party.,派對的一切都準備好了。,,something,everyone,nothing
mix-102,how,如何,mixed,adv,How do you spell your name?,你的名字怎麼拼？,❓,why,where,which
mix-103,how much,多少,mixed,adv+int,How much is this comic book?,這本漫畫書多少錢？,💲,how often,how,why
mix-104,inside,在裡面,mixed,adv+n,It's raining. Let's play inside.,下雨了，我們在室內玩吧。,🏠,outside,upstairs,downstairs
mix-105,into,進入,mixed,prep,The rabbit hopped into the box.,兔子跳進箱子裡。,📥,out of,around,along
mix-106,more,更多,mixed,adv+det+pron,"Can I have more noodles, please?",請再給我一些麵好嗎？,➕,most,less,only
mix-107,most,最多；大部分,mixed,adv+det+pron,This is the most exciting game!,這是最刺激的遊戲！,,more,best,every
mix-108,near,在…附近,mixed,adv+prep,The school is near the park.,學校在公園附近。,📍,above,opposite,along
mix-109,nothing,什麼都沒有,mixed,pron,There is nothing in the box.,箱子裡什麼都沒有。,🈳,something,everything,someone
mix-110,off,離開；脫離,mixed,adv+prep,The cat jumped off the roof.,貓從屋頂跳下來。,,on,out,down
mix-111,on,在（星期）,mixed,prep,We play football on Saturday.,我們星期六踢足球。,,at,by,off
mix-112,opposite,在…對面,mixed,prep,The café is opposite the cinema.,咖啡廳在電影院對面。,↔️,near,above,along
mix-113,out,外出；出去,mixed,adv,Let's go out and play!,我們出去玩吧！,🚪,in,off,up
mix-114,out of,從…出來,mixed,prep,The dolphin jumped out of the water.,海豚跳出水面。,,into,off,down
mix-115,outside,在外面,mixed,adv+n+prep,The children are playing outside.,孩子們在外面玩。,🌳,inside,upstairs,out
mix-116,someone,某個人,mixed,pron,Someone is at the door.,有人在門口。,👤,everyone,something,nothing
mix-117,something,某件東西,mixed,pron,There is something in my shoe!,我的鞋子裡有東西！,,someone,nothing,everything
mix-118,than,比,mixed,conj+prep,A whale is bigger than a dolphin.,鯨魚比海豚大。,⚖️,then,because,when
mix-119,up,向上,mixed,adv+prep,Look up at the sky!,抬頭看天空！,⬆️,down,out,off
mix-120,when,何時；當…時,mixed,adv+conj+int,When is your birthday?,你的生日是什麼時候？,❓,where,why,who
mix-121,where,哪裡,mixed,pron,Where is my other sock?,我的另一隻襪子在哪裡？,❓,when,who,which
mix-122,which,哪一個,mixed,pron,Which cake do you want?,你想要哪一個蛋糕？,❓,where,who,why
mix-123,who,誰,mixed,pron,Who is that tall man?,那個高高的男人是誰？,❓,which,where,when
mix-124,why,為什麼,mixed,int,Why are you laughing?,你為什麼在笑？,❓,how,when,where
mix-125,all,全部,mixed,adj+adv+det+pron,We ate all the pancakes.,我們把鬆餅全吃光了。,💯,both,every,any
